nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
artist instrumentist artist liric balerin dansator artist circ corepetitor acompaniator regizor scena culise maestru de studii balet canto muzical corist opera opereta,"Artist instrumentist, artist liric, balerin, dansator, artist circ, corepetitor, acompaniator, regizor scenă (culise), maestru de studii (balet, canto, muzical), corist (opera, opereta)",III,,31.00201003.10.1|31.00201003.10.2|31.00201003.10.3|31.00201003.10.4|31.00202003.10.1|31.00202003.10.2|31.00202003.10.3|31.00202003.10.4,8,III CI !26|III CI !27|III CI !28|III CI !29|III CI !81|III CI !82|III CI !83|III CI !84
asistent accesare fonduri implementare si administrare proiecte securitate cibernetica,"asistent accesare fonduri, implementare şi administrare proiecte Securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent analist,Asistent analist,VIII,personal contractual,82.40119002.01.1|82.40119002.01.2,2,VIII CII A 1!195|VIII CII A 1!196
asistent analiza surse deschise riscuri si amenintari securitate cibernetica,"asistent analiză surse deschise, riscuri şi ameninţări Securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent criminalist,Asistent criminalist,V,,55.00101008.01.1,1,V CV!32
asistent de cercetare stiintifica,Asistent de cercetare ştiinţifică,I,,12.00201005.01.1,1,I CII!25
asistent de cercetare stiintifica stagiar,Asistent de cercetare ştiinţifică stagiar,I,,12.00201006.01.1,1,I CII!26
asistent de fiziokinetoterapie,asistent de fiziokinetoterapie,II,,21.00201032.27.1,1,II CI 2!36
asistent de profilaxie stomatologica,asistent de profilaxie stomatologică,II,,21.00201032.27.1,1,II CI 2!36
asistent de sprijin pentru victime debutant,Asistent de sprijin pentru victime debutant,II,,21.00303004.01.1,1,II CI 3!18
asistent de sprijin pentru victime practicant,Asistent de sprijin pentru victime practicant,II,,21.00303003.01.1,1,II CI 3!17
asistent de sprijin pentru victime principal,Asistent de sprijin pentru victime principal,II,,21.00303001.01.1,1,II CI 3!15
asistent de sprijin pentru victime specialist,Asistent de sprijin pentru victime specialist,II,,21.00303002.01.1,1,II CI 3!16
asistent dentar,asistent dentar,II,,21.00201032.27.1,1,II CI 2!36
asistent dezvoltare implementare si administrare infrastructuri securitate cibernetica,"asistent dezvoltare, implementare şi administrare infrastructuri Securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent evaluare si impact financiar securitate cibernetica,asistent evaluare şi impact financiar securitate cibernetică,VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent i,Asistent I,I,,12.00201007.01.1,1,I CII!27
asistent igienist pentru cabinet stomatologic,asistent igienist pentru cabinet stomatologic,II,,21.00201032.27.1,1,II CI 2!36
asistent ii,Asistent II,I,,12.00201008.01.1,1,I CII!28
asistent investigatii digitale si analiza malware,asistent investigaţii digitale şi analiză malware,VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent legal politici standardizare de securitate cibernetica,"asistent legal politici, standardizare de securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent maternal profesionist,Asistent maternal profesionist,II,,21.00303044.01.1,1,II CI 3!58
asistent medical,Asistent medical,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1|21.00201032.27.1|21.00201033.27.1|21.00201039.01.1,6,II CI 2!33|II CI 2!34|II CI 2!35|II CI 2!36|II CI 2!37|II CI 2!43
asistent medical asistent medical specialist tehnician superior de imagistica radiologie radioterapie si radiodiagnostic cosmetician medical specialist asistent medical specializat tehnician de laborator clinic tehnician de farmacie asistent de fiziokinetoterapie asistent medical de urgente medico chirurgicale asistent medico social tehnician dentar specializat asistent de profilaxie stomatologica asistent igienist pentru cabinet stomatologic asistent pentru stomatologie asistent medical generalist tehnician de radiologie si imagistica tehnician de audiologie si protezare auditiva tehnician de protezare oculara asistent medical de geriatrie gerontologie si asistenta sociala pentru varstnici asistent medical de igiena si sanatate publica cosmetician medical asistent medical nutritionist si dietetician tehnician dentar specialist asistent dentar,"Asistent medical, asistent medical specialist, tehnician superior de imagistică, radiologie, radioterapie şi radiodiagnostic, cosmetician medical specialist, asistent medical specializat, tehnician de laborator clinic, tehnician de farmacie, asistent de fiziokinetoterapie, asistent medical de urgenţe medico-chirurgicale, asistent medico-social, tehnician dentar specializat, asistent de profilaxie stomatologică, asistent igienist pentru cabinet stomatologic, asistent pentru stomatologie, asistent medical generalist, tehnician de radiologie şi imagistică, tehnician de audiologie şi protezare auditivă, tehnician de protezare oculară, asistent medical de geriatrie, gerontologie şi asistenţă socială pentru vârstnici, asistent medical de igienă şi sănătate publică, cosmetician medical, asistent medical nutriţionist şi dietetician, tehnician dentar specialist, asistent dentar",II,,21.00201034.27.1,1,II CI 2!38
asistent medical coordonator,Asistent medical coordonator,II,,,1,II CI 1!38
asistent medical de geriatrie,asistent medical de geriatrie,II,,21.00201032.27.1,1,II CI 2!36
asistent medical de igiena si sanatate publica,asistent medical de igienă şi sănătate publică,II,,21.00201032.27.1,1,II CI 2!36
asistent medical de laborator clinic licentiat,asistent medical de laborator clinic licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
asistent medical de profilaxie dentara licentiat,asistent medical de profilaxie dentară licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
asistent medical de urgente medico chirurgicale,asistent medical de urgenţe medico-chirurgicale,II,,21.00201032.27.1,1,II CI 2!36
asistent medical debutant,Asistent medical debutant *,II,,21.00201040.01.1,1,II CI 2!44
asistent medical dentar licentiat,asistent medical dentar licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
asistent medical generalist,asistent medical generalist,II,,21.00201032.27.1,1,II CI 2!36
asistent medical nutritionist si dietetician,asistent medical nutriţionist şi dietetician,II,,21.00201032.27.1,1,II CI 2!36
asistent medical principal,Asistent medical principal *,II,,21.00201038.01.1,1,II CI 2!42
asistent medical sef,Asistent medical-şef,II,,,1,II CI 1!27
asistent medical sef moasa sef si altele similare,"Asistent medical şef **), moașă-șef și altele similare",II,,,1,II CI 1!37
asistent medical sef pe unitate,Asistent medical-şef pe unitate,II,,,1,II CI 1!36
asistent medical specialist,asistent medical specialist,II,,21.00201032.27.1|21.00201033.27.1,2,II CI 2!36|II CI 2!37
asistent medical specializat,asistent medical specializat,II,,21.00201032.27.1,1,II CI 2!36
asistent medical tehnician de audiologie si protezare auditiva,"Asistent medical, tehnician de audiologie și protezare auditivă",II,,21.00303019.02.1|21.00303020.02.1|21.00303021.02.1,3,II CI 3!33|II CI 3!34|II CI 3!35
asistent medical tehnician dentar,"Asistent medical,tehnician dentar *",II,,21.00201036.01.1,1,II CI 2!40
asistent medical tehnician dentar debutant,"Asistent medical,tehnician dentar debutant*",II,,21.00201037.01.1,1,II CI 2!41
asistent medical tehnician dentar principal,"Asistent medical,tehnician dentar principal *",II,,21.00201035.01.1,1,II CI 2!39
asistent medico social,asistent medico-social,II,,21.00201032.27.1,1,II CI 2!36
asistent pentru stomatologie,asistent pentru stomatologie,II,,21.00201032.27.1,1,II CI 2!36
asistent personal profesionist,Asistent personal profesionist,II,,,1,II CI 3!62
asistent politici strategii si cooperare securitate cibernetica,"asistent politici, strategii şi cooperare securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent preluare analiza primara si raspuns la incidente securitate cibernetica,"asistent preluare, analiză primară şi răspuns la incidente securitate cibernetică",VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
asistent registrator,Asistent registrator,VIII,personal contractual,82.40108011.01.1|82.40108011.01.2|82.40108011.01.3|82.40108011.01.4,4,VIII CII A 1!119|VIII CII A 1!120|VIII CII A 1!121|VIII CII A 1!122
asistent registrator principal,Asistent registrator principal,VIII,personal contractual,82.40108006.01.1|82.40108006.01.2|82.40108006.01.3|82.40108006.01.4,4,VIII CII A 1!99|VIII CII A 1!100|VIII CII A 1!101|VIII CII A 1!102
asistent securitate cibernetica,Asistent securitate cibernetică,VIII,personal contractual,,4,VIII CII A 1!256|VIII CII A 1!257|VIII CII A 1!258|VIII CII A 1!259
