nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
maistru instructor studii superioare lunga durata grad didactic i,"maistru instructor, studii superioare lungă durată grad didactic I",I,,11.00501009.02.1|11.00501009.02.2|11.00501009.02.3|11.00501009.02.4|11.00501009.02.5,5,I CI 4-5-6!70|I CI 4-5-6!71|I CI 4-5-6!72|I CI 4-5-6!73|I CI 4-5-6!74
maistru instructor studii superioare lunga durata grad didactic ii,"maistru instructor, studii superioare lungă durată grad didactic II",I,,11.00501010.02.1|11.00501010.02.2|11.00501010.02.3|11.00501010.02.4|11.00501010.02.5|11.00501010.02.6,6,I CI 4-5-6!75|I CI 4-5-6!76|I CI 4-5-6!77|I CI 4-5-6!78|I CI 4-5-6!79|I CI 4-5-6!80
maistru instructor studii superioare scurta durata debutant,"maistru instructor, studii superioare scurtă durată debutant",I,,11.00501016.02.1,1,I CI 4-5-6!105
maistru instructor studii superioare scurta durata grad didactic definitiv,"maistru instructor, studii superioare scurtă durată grad didactic definitiv",I,,11.00501015.02.1|11.00501015.02.2|11.00501015.02.3|11.00501015.02.4|11.00501015.02.5|11.00501015.02.6,6,I CI 4-5-6!99|I CI 4-5-6!100|I CI 4-5-6!101|I CI 4-5-6!102|I CI 4-5-6!103|I CI 4-5-6!104
maistru instructor studii superioare scurta durata grad didactic i,"maistru instructor, studii superioare scurtă durată grad didactic I",I,,11.00501013.02.1|11.00501013.02.2|11.00501013.02.3|11.00501013.02.4|11.00501013.02.5,5,I CI 4-5-6!88|I CI 4-5-6!89|I CI 4-5-6!90|I CI 4-5-6!91|I CI 4-5-6!92
maistru instructor studii superioare scurta durata grad didactic ii,"maistru instructor, studii superioare scurtă durată grad didactic II",I,,11.00501014.02.1|11.00501014.02.2|11.00501014.02.3|11.00501014.02.4|11.00501014.02.5|11.00501014.02.6,6,I CI 4-5-6!93|I CI 4-5-6!94|I CI 4-5-6!95|I CI 4-5-6!96|I CI 4-5-6!97|I CI 4-5-6!98
manager,Manager,II|III,,21.00102001.01.2|31.00101001.01.2|31.00102001.01.2|32.00101001.01.2|32.00102001.01.2|33.00101001.01.2|33.00102001.01.2|34.00101001.01.2|35.00101001.01.2,10,II CI 1!12|III CI !8|III CI !63|III CII!9|III CII!39|III CIII!7|III CIII!37|III CIV!9|III CV!8|III CV!28
manager general,Manager general,II,,21.00103002.01.2,1,II CI 1!23
manager public,Manager public,VIII,funcționar public,81.10106001.01.1|81.10106001.01.2|81.10106001.01.3,3,VIII_CI_A_1!79|VIII_CI_A_1!80|VIII_CI_A_1!81
manager securitate cibernetica,Manager securitate cibernetica,VIII,personal contractual,,1,VIII CII A 1!248
manager superior securitate cibernetica,Manager superior securitate cibernetica,VIII,personal contractual,,1,VIII CII A 1!247
manager tic,Manager TIC,VIII,personal contractual,,3,VIII CII I!17|VIII CII I!24|VIII CII I!31
manipulant bunuri,manipulant bunuri,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
manipulant decor,Manipulant decor,III,,31.00201012.01.1|31.00201012.01.2|31.00202012.01.1|31.00202012.01.2,4,III CI !59|III CI !60|III CI !114|III CI !115
manuitor carte garderobier,"Mânuitor carte, garderobier",III,,32.00201006.02.1|32.00202006.02.1,2,III CII!36|III CII!66
marinar,marinar,VIII,personal contractual,,1,VIII CII E!40
marinar bucatar,"Marinar, bucătar",VIII,personal contractual,,1,VIII CII E!39
marinar stagiar,Marinar stagiar,VIII,personal contractual,,1,VIII CII E!33
mecanic,Mecanic,VIII,personal contractual,,1,VIII CII E!32
mecanic de aviatie,Mecanic de aviație,VIII,personal contractual,,5,VIII CII F!63|VIII CII F!64|VIII CII F!65|VIII CII F!66|VIII CII F!67
mecanic navigant,Mecanic navigant,VIII,personal contractual,,3,VIII CII F!44|VIII CII F!45|VIII CII F!46
mecanic navigant instructor,Mecanic navigant instructor,VIII,personal contractual,,3,VIII CII F!41|VIII CII F!42|VIII CII F!43
mecanic pentru intretinerea aparatelor de lansare la zbor,Mecanic pentru întreţinerea aparatelor de lansare la zbor,VIII,personal contractual,,5,VIII CII F!68|VIII CII F!69|VIII CII F!70|VIII CII F!71|VIII CII F!72
mecanic stagiar,Mecanic stagiar,VIII,personal contractual,,1,VIII CII E!34
mecanic utilaj,Mecanic utilaj,VIII,personal contractual,82.60130008.01.1,4,VIII CII A 3_local1!76|VIII CII A 3_local2!76|VIII CII A 3_local3!77|VIII CII A 3_local4!78
mediator scolar,mediator școlar,I,,11.00601004.03.1|11.00601004.03.2|11.00601004.03.3|11.00601004.03.4|11.00601010.03.1|11.00601010.03.2|11.00601010.03.3|11.00601010.03.4|11.00601022.01.1|11.00601022.01.2|11.00601022.01.3,12,I CI 4-5-6!160|I CI 4-5-6!161|I CI 4-5-6!162|I CI 4-5-6!163|I CI 4-5-6!192|I CI 4-5-6!193|I CI 4-5-6!194|I CI 4-5-6!195|I CI 4-5-6!244|I CI 4-5-6!245|I CI 4-5-6!246|I CI 4-5-6!247
medic,Medic,II,,21.00201014.01.1,1,II CI 2!21
medic coordonator,Medic coordonator,II,,,1,II CI 1!34
medic dentist,Medic dentist,II,,21.00201015.01.1,1,II CI 2!22
medic dentist rezident anul i,Medic dentist rezident anul I,II,,21.00201013.01.1,1,II CI 2!20
medic dentist rezident anul ii,Medic dentist rezident anul II,II,,21.00201011.01.1,1,II CI 2!18
medic dentist rezident anul iii,Medic dentist rezident anul III,II,,21.00201009.01.1,1,II CI 2!16
medic dentist rezident anul iv v,Medic dentist rezident anul IV-V,II,,21.00201007.01.1,1,II CI 2!14
medic primar,Medic primar,II,,21.00201001.01.1,1,II CI 2!8
medic primar dentist,Medic primar dentist,II,,21.00201002.01.1,1,II CI 2!9
medic primar veterinar,Medic primar veterinar,VIII,personal contractual,82.40124001.02.1,1,VIII CII A 1!224
medic rezident anul i,Medic rezident anul I,II,,21.00201012.01.1,1,II CI 2!19
medic rezident anul ii,Medic rezident anul II,II,,21.00201010.01.1,1,II CI 2!17
medic rezident anul iii,Medic rezident anul III,II,,21.00201008.01.1,1,II CI 2!15
medic rezident anul iv v,Medic rezident anul IV-V,II,,21.00201006.01.1,1,II CI 2!13
medic rezident anul vi,Medic rezident anul VI,II,,21.00201005.01.1,1,II CI 2!12
medic sef ambulatoriu de specialitate si altele similare,Medic şef ambulatoriu de specialitate şi altele similare,II,,,1,II CI 1!33
medic specialist,Medic specialist,II,,21.00201003.01.1,1,II CI 2!10
medic specialist dentist,Medic specialist dentist,II,,21.00201004.01.1,1,II CI 2!11
medic veterinar,Medic veterinar,VIII,personal contractual,82.40124002.01.1|82.40124003.01.1|82.40124004.01.1,3,VIII CII A 1!225|VIII CII A 1!226|VIII CII A 1!227
medic veterinar gradul i,Medic veterinar gradul I,VIII,personal contractual,82.40124001.02.1,1,VIII CII A 1!224
membri,Membri,IX,,,2,IX B!48|IX B!53
membru al comitetului de reglementare,Membru al Comitetului de reglementare,VII,,,1,VII CI !43
merceolog,merceolog,VIII,personal contractual,82.40202006.04.1|82.40202006.04.2|82.40202006.04.3|82.40202006.04.4,4,VIII CII B!36|VIII CII B!37|VIII CII B!38|VIII CII B!39
ministru,Ministru,IX,,,1,IX B!11
ministru consilier,Ministru consilier,IV,,42.00100003.01.1,1,IV CI + CII!19
ministru delegat,Ministru delegat,IX,,,1,IX B!12
ministru plenipotentiar,Ministru plenipotenţiar,IV,,42.00100002.01.1,1,IV CI + CII!18
moasa,moaşă,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
model,model,I,,11.00601021.02.1|11.00601021.02.2|11.00601021.02.3,4,I CI 4-5-6!240|I CI 4-5-6!241|I CI 4-5-6!242|I CI 4-5-6!243
motorist,Motorist,VIII,personal contractual,,2,VIII CII E!38|VIII CII E!40
muncitor calificat,Muncitor calificat,VIII,personal contractual,82.40302012.01.1|82.40302012.01.2|82.40302012.01.3|82.40302012.01.4|82.60128018.01.1|82.60128018.01.2|82.60128018.01.3|82.60128018.01.4,20,VIII CII A 3_local1!58|VIII CII A 3_local1!59|VIII CII A 3_local1!60|VIII CII A 3_local1!61|VIII CII A 3_local2!58|VIII CII A 3_local2!59|VIII CII A 3_local2!60|VIII CII A 3_local2!61|VIII CII A 3_local3!59|VIII CII A 3_local3!60|VIII CII A 3_local3!61|VIII CII A 3_local3!62|VIII CII A 3_local4!60|VIII CII A 3_local4!61|VIII CII A 3_local4!62|VIII CII A 3_local4!63|VIII CII C!33|VIII CII C!34|VIII CII C!35|VIII CII C!36
muncitor din activitatea specifica institutiilor de spectacole sau concerte,Muncitor din activitatea specifică instituțiilor de spectacole sau concerte,III,,31.00201010.01.1|31.00201010.01.2|31.00201010.01.3|31.00201010.01.4|31.00202010.01.1|31.00202010.01.2|31.00202010.01.3|31.00202010.01.4,8,III CI !54|III CI !55|III CI !56|III CI !57|III CI !109|III CI !110|III CI !111|III CI !112
muncitor necalificat,Muncitor necalificat,VIII,personal contractual,82.40302013.01.1|82.40302013.01.2|82.60128019.01.1|82.60128019.01.2,10,VIII CII A 3_local1!62|VIII CII A 3_local1!63|VIII CII A 3_local2!62|VIII CII A 3_local2!63|VIII CII A 3_local3!63|VIII CII A 3_local3!64|VIII CII A 3_local4!64|VIII CII A 3_local4!65|VIII CII C!37|VIII CII C!38
muzeograf restaurator conservator bibliograf arheolog arhitect istoric curator designer taxidermist fotograf desenator artistic educator muzeal arhivist,"Muzeograf, restaurator, conservator, bibliograf, arheolog, arhitect, istoric, curator, designer, taxidermist, fotograf, desenator artistic, educator muzeal, arhivist",III,,33.00201001.14.1|33.00201001.14.2|33.00201001.14.3|33.00201001.14.4|33.00202001.14.1|33.00202001.14.2|33.00202001.14.3|33.00202001.14.4,8,III CIII!17|III CIII!18|III CIII!19|III CIII!20|III CIII!47|III CIII!48|III CIII!49|III CIII!50
muzeograf restaurator conservator bibliograf bibliotecar arhivist conductor arhitect educator muzeal topograf,"Muzeograf, restaurator, conservator, bibliograf, bibliotecar-arhivist, conductor arhitect, educator muzeal, topograf",III,,33.00201006.08.1|33.00201006.08.2|33.00201006.08.3|33.00201006.08.4|33.00202006.08.1|33.00202006.08.2|33.00202006.08.3|33.00202006.08.4,8,III CIII!25|III CIII!26|III CIII!27|III CIII!28|III CIII!55|III CIII!56|III CIII!57|III CIII!58
ofiter electrician,ofiţer electrician,VIII,personal contractual,,1,VIII CII E!28
ofiter electrician maritim,ofiţer electrician maritim,VIII,personal contractual,,1,VIII CII E!21
ofiter electrician maritim portuar,ofiţer electrician maritim-portuar,VIII,personal contractual,,1,VIII CII E!27
ofiter maritim mecanic,Ofiţer maritim mecanic,VIII,personal contractual,,1,VIII CII E!23
ofiter maritim punte,Ofiţer maritim punte,VIII,personal contractual,,1,VIII CII E!20
ofiter maritim sar,Ofițer maritim SAR,VIII,personal contractual,,1,VIII CII E!29
ofiter mecanic,Ofiţer mecanic,VIII,personal contractual,,1,VIII CII E!28
ofiter mecanic maritim,Ofiţer mecanic maritim,VIII,personal contractual,,1,VIII CII E!21
ofiter mecanic maritim portuar,ofiţer mecanic maritim-portuar,VIII,personal contractual,,1,VIII CII E!27
ofiter mecanic secund,Ofiţer mecanic secund,VIII,personal contractual,,1,VIII CII E!19
ofiter punte aspirant,Ofiţer punte aspirant,VIII,personal contractual,,2,VIII CII E!22|VIII CII E!28
ofiter punte maritim portuar,Ofiţer punte maritim-portuar,VIII,personal contractual,,1,VIII CII E!27
ofiter punte secund,Ofiţer punte secund,VIII,personal contractual,,1,VIII CII E!18
operator,Operator,VIII,personal contractual,82.40208004.02.1|82.40208004.02.2|82.40208004.02.3|82.40208004.02.4,4,VIII CII B!78|VIII CII B!79|VIII CII B!80|VIII CII B!81
operator editor regizor scena iluminist scena machior peruchier butafor recuziter,"Operator , editor , regizor scenă, iluminist scenă, machior, peruchier, butafor, recuziter",III,,31.00201009.08.1|31.00201009.08.2|31.00201009.08.3|31.00201009.08.4|31.00202009.08.1|31.00202009.08.2|31.00202009.08.3|31.00202009.08.4,8,III CI !50|III CI !51|III CI !52|III CI !53|III CI !105|III CI !106|III CI !107|III CI !108
operator registrator de urgenta,operator registrator de urgență,II,,21.00201051.02.1,1,II CI 2!55
operator registrator de urgenta debutant,"operator registrator de urgență, debutant",II,,21.00201052.02.1,1,II CI 2!56
operator registrator de urgenta principal,"operator registrator de urgență, principal",II,,21.00201050.02.1,1,II CI 2!54
operator statistician,Operator statistician,VIII,personal contractual,,4,VIII CII A 1!265|VIII CII A 1!266|VIII CII A 1!267|VIII CII A 1!268
orct,ORCT,V,,56.00101003.01.2|56.00101005.01.2,2,V CVInef!10|V CVInef!12
parinte social ingrijitor la domiciliu asistent personal,"Părinte social, îngrijitor la domiciliu, asistent personal",II,,21.00303045.04.1,1,II CI 3!59
paznic,paznic,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
pedagog scolar,Pedagog scolar,I,,11.00601004.03.1|11.00601004.03.2|11.00601004.03.3|11.00601004.03.4|11.00601016.01.1|11.00601016.01.2|11.00601016.01.3|11.00601016.01.4,8,I CI 4-5-6!160|I CI 4-5-6!161|I CI 4-5-6!162|I CI 4-5-6!163|I CI 4-5-6!220|I CI 4-5-6!221|I CI 4-5-6!222|I CI 4-5-6!223
pedagog scolar laborant,"Pedagog şcolar, laborant",I,,11.00601010.03.1|11.00601010.03.2|11.00601010.03.3|11.00601010.03.4,4,I CI 4-5-6!192|I CI 4-5-6!193|I CI 4-5-6!194|I CI 4-5-6!195
penitenciare,penitenciare,VI,,,4,VI_Armata!24|VI_Armata!25|VI_Armata!26|VI_Armata!27
penitenciare debutant,penitenciare debutant,VI,,,2,VI_Armata!28|VI_Armata!29
pilot aeronava,Pilot aeronavă,VIII,personal contractual,,3,VIII CII F!35|VIII CII F!36|VIII CII F!37
pilot instructor,Pilot instructor,VIII,personal contractual,,3,VIII CII F!32|VIII CII F!33|VIII CII F!34
pilot maritim aspirant,pilot maritim aspirant,VIII,personal contractual,,1,VIII CII E!18
pilot maritim i,Pilot maritim I,VIII,personal contractual,,1,VIII CII E!15
pilot maritim ii,Pilot maritim II,VIII,personal contractual,,1,VIII CII E!16
politie penitenciara,poliție penitenciară,VI,,,8,VI_Armata!15|VI_Armata!16|VI_Armata!17|VI_Armata!18|VI_Armata!19|VI_Armata!20|VI_Armata!21|VI_Armata!22
politie penitenciara debutant,poliție penitenciară debutant,VI,,,1,VI_Armata!23
politist local,Polițist local,VIII,funcționar public,81.30111003.01.1|81.30111003.01.2|81.30111003.01.3|81.30111003.01.4|81.30111004.01.1|81.30111004.01.2|81.30111004.01.3|81.30111004.01.4,48,VIII CI A 3 (local1)!28|VIII CI A 3 (local1)!29|VIII CI A 3 (local1)!30|VIII CI A 3 (local1)!31|VIII CI A 3 (local1)!32|VIII CI A 3 (local1)!33|VIII CI A 3 (local1)!34|VIII CI A 3 (local1)!35|VIII CI A 3 (local1)!36|VIII CI A 3 (local1)!37|VIII CI A 3 (local1)!38|VIII CI A 3 (local1)!39|VIII CI A 3 (local2)!27|VIII CI A 3 (local2)!28|VIII CI A 3 (local2)!29|VIII CI A 3 (local2)!30|VIII CI A 3 (local2)!35|VIII CI A 3 (local2)!36|VIII CI A 3 (local2)!37|VIII CI A 3 (local2)!38|VIII CI A 3 (local2)!43|VIII CI A 3 (local2)!44|VIII CI A 3 (local2)!45|VIII CI A 3 (local2)!46|VIII CI A 3 (local3)!27|VIII CI A 3 (local3)!28|VIII CI A 3 (local3)!29|VIII CI A 3 (local3)!30|VIII CI A 3 (local3)!35|VIII CI A 3 (local3)!36|VIII CI A 3 (local3)!37|VIII CI A 3 (local3)!38|VIII CI A 3 (local3)!43|VIII CI A 3 (local3)!44|VIII CI A 3 (local3)!45|VIII CI A 3 (local3)!46|VIII CI A 3 (local4)!27|VIII CI A 3 (local4)!28|VIII CI A 3 (local4)!29|VIII CI A 3 (local4)!30
pompagiu,pompagiu,VIII,personal contractual,,2,VIII CII E!38|VIII CII E!40
pompier,pompier,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
pompieri,pompieri,VIII,personal contractual,82.40302006.02.1|82.60128012.02.1,5,VIII CII A 3_local1!49|VIII CII A 3_local2!49|VIII CII A 3_local3!50|VIII CII A 3_local4!51|VIII CII C!23
portar,Portar,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
prefect,Prefect,IX,,,1,IX B!69
preot,Preot,I,,,7,I CIII A!11|I CIII A!12|I CIII A!13|I CIII A!14|I CIII A!16|I CIII A!17|I CIII A!18
preot debutant,Preot - debutant,I,,,2,I CIII A B C D!11|I CIII A B C D!14
preot definitiv,Preot - definitiv,I,,,2,I CIII A B C D!10|I CIII A B C D!13
preot gradul i,Preot - gradul I,I,,,2,I CIII A B C D!8|I CIII A B C D!12
preot gradul ii,Preot - gradul II,I,,,1,I CIII A B C D!9
presedinte,Președinte *),IX|VII,,,11,VII CI !41|IX B!16|IX B!26|IX B!32|IX B!43|IX B!47|IX B!50|IX B!55|IX B!58|IX B!61|IX B!66
presedinte al consiliului judetean,Preşedinte al consiliului judeţean,IX,,,1,IX C!13
presedinte autoritatea de audit,Preşedinte Autoritatea de audit,IX,,,1,IX B!28
presedinte club,Președinte club,VIII,personal contractual,82.40201007.01.2,1,VIII CII B!15
presedinte consiliu,Preşedinte consiliu,IX,,,1,IX B!20
presedinte de sectie,Preşedinte de secţie,IX,,,1,IX B!21
presedinte federatie,președinte federație,VIII,personal contractual,82.40201005.07.2,1,VIII CII B!13
presedintele romaniei,Preşedintele României,IX,,,1,IX A!10
presedintele senatului si presedintele camerei deputatilor,Preşedintele Senatului şi Preşedintele Camerei Deputaţilor,IX,,,1,IX A!12
presedintii comisiilor permanente ale senatului si camerei deputatilor,Preşedinţii comisiilor permanente ale Senatului şi Camerei Deputaţilor,IX,,,1,IX A!16
prim adjunctul directorului serviciului roman de informatii,prim-adjunctul directorului Serviciului Român de Informaţii,VI,,,1,VI_Armata!10
prim adjunctul si adjunctii directorului serviciului de telecomunicatii speciale,Prim-adjunctul şi adjuncţii directorului Serviciului de Telecomunicaţii Speciale,VI,,,1,VI_Armata!12
prim adjunctul si adjunctul directorului serviciului de protectie si paza,prim-adjunctul şi adjunctul directorului Serviciului de Protecţie şi Pază,VI,,,1,VI_Armata!12
prim grefier,Prim- grefier,V,,52.00101001.05.1|52.00101005.05.1,2,V CII!8|V CII!10
prim ministru,Prim-ministru,IX,,,1,IX B!9
primar al sectoarelor mun bucuresti,Primar al sectoarelor mun. București,IX,,,1,IX C!16
primar general al capitalei,Primar general al Capitalei,IX,,,1,IX C!11
primar municipiu resedinta de judet,Primar municipiu resedinta de judet,IX,,,1,IX C!15
primar unitati administrativ teritoriale cu 10 001 pana la 50 000 locuitori,Primar unităţi administrativ-teritoriale cu 10.001 pana la 50.000 locuitori,IX,,,1,IX C!18
primar unitati administrativ teritoriale cu 50 001 pana la 200 000 locuitori,Primar unităţi administrativ-teritoriale cu 50.001 pana la 200.000 locuitori,IX,,,1,IX C!17
primar unitati administrativ teritoriale pana la 10 000 locuitori,Primar unităţi administrativ-teritoriale pana la 10.000 locuitori,IX,,,1,IX C!19
primul adjunct al directorului serviciului de informatii externe,primul adjunct al directorului Serviciului de Informaţii Externe,VI,,,1,VI_Armata!10
principal,principal *,II,,21.00303022.04.1,1,II CI 3!36
principal 1,principal 1*),II,,21.00303025.03.1,1,II CI 3!39
procuror cu grad de curte de apel,Procuror cu grad de curte de apel,V,,51.00201002.01.1|51.00201002.01.2|51.00201002.01.3|51.00201002.01.4,4,V CI A+B!34|V CI A+B!35|V CI A+B!36|V CI A+B!37
procuror cu grad de judecatorie,Procuror cu grad de judecătorie,V,,51.00201004.01.1|51.00201004.01.2|51.00201004.01.3|51.00201004.01.4|51.00201004.01.5|51.00201004.01.6,6,V CI A+B!42|V CI A+B!43|V CI A+B!44|V CI A+B!45|V CI A+B!46|V CI A+B!47
procuror cu grad de tribunal procuror militar la tribunalul militar,"Procuror cu grad de tribunal, procuror militar la tribunalul militar",V,,51.00201003.02.1|51.00201003.02.2|51.00201003.02.3|51.00201003.02.4,4,V CI A+B!38|V CI A+B!39|V CI A+B!40|V CI A+B!41
procuror cu grad profesional corespunzator piccj procurordin cadrul directiei nationale anticoruptie si directiei de investigare a infractiunilor de criminalitate organizata si terorism,"Procuror cu grad profesional corespunzător PICCJ, procurordin cadrul Direcţiei Naţionale Anticorupţie şi Direcţiei de Investigare a Infracţiunilor de Criminalitate Organizată şi Terorism",V,,51.00201001.01.1|51.00201001.01.2|51.00201001.01.3|51.00201001.01.4,4,V CI A+B!30|V CI A+B!31|V CI A+B!32|V CI A+B!33
procuror stagiar,Procuror stagiar,V,,51.00201005.01.1|51.00201005.01.2,2,V CI A+B!48|V CI A+B!49
prodecan,Prodecan,I,,11.00101005.01.2,1,I CI 1-3!11
profesor,Profesor,I,,11.00501001.01.1|11.00501001.01.2|11.00501001.01.3|11.00501001.01.4|11.00501001.01.5|11.00501001.01.6|11.00501002.01.1|11.00501002.01.2|11.00501002.01.3|11.00501002.01.4|11.00501002.01.5|11.00501002.01.6|11.00501003.01.1|11.00501003.01.2|11.00501003.01.3|11.00501003.01.4|11.00501003.01.5|11.00501003.01.6|11.00501004.01.1|11.00501005.01.1|11.00501005.01.2|11.00501005.01.3|11.00501005.01.4|11.00501005.01.5|11.00501006.01.1|11.00501006.01.2|11.00501006.01.3|11.00501006.01.4|11.00501006.01.5|11.00501006.01.6|11.00501007.01.1|11.00501007.01.2|11.00501007.01.3|11.00501007.01.4|11.00501007.01.5|11.00501007.01.6|11.00501008.01.1|11.00501021.04.1|11.00501021.04.2|11.00501021.04.3|11.00501021.04.4|11.00501021.04.5|11.00501021.04.6|11.00501021.04.7,44,I CI 4-5-6!33|I CI 4-5-6!34|I CI 4-5-6!35|I CI 4-5-6!36|I CI 4-5-6!37|I CI 4-5-6!38|I CI 4-5-6!39|I CI 4-5-6!40|I CI 4-5-6!41|I CI 4-5-6!42|I CI 4-5-6!43|I CI 4-5-6!44|I CI 4-5-6!45|I CI 4-5-6!46|I CI 4-5-6!47|I CI 4-5-6!48|I CI 4-5-6!49|I CI 4-5-6!50|I CI 4-5-6!51|I CI 4-5-6!52|I CI 4-5-6!53|I CI 4-5-6!54|I CI 4-5-6!55|I CI 4-5-6!56|I CI 4-5-6!57|I CI 4-5-6!58|I CI 4-5-6!59|I CI 4-5-6!60|I CI 4-5-6!61|I CI 4-5-6!62|I CI 4-5-6!63|I CI 4-5-6!64|I CI 4-5-6!65|I CI 4-5-6!66|I CI 4-5-6!67|I CI 4-5-6!68|I CI 4-5-6!69|I CI 4-5-6!124|I CI 4-5-6!125|I CI 4-5-6!126
profesor antrenor studii superioare de lunga durata debutant,"profesor-antrenor ,studii superioare de lungă durată debutant",I,,11.00501004.01.1,1,I CI 4-5-6!51
profesor antrenor studii superioare de lunga durata grad didactic definitiv,"profesor-antrenor, studii superioare de lungă durată grad didactic definitiv",I,,11.00501003.01.1|11.00501003.01.2|11.00501003.01.3|11.00501003.01.4|11.00501003.01.5|11.00501003.01.6,6,I CI 4-5-6!45|I CI 4-5-6!46|I CI 4-5-6!47|I CI 4-5-6!48|I CI 4-5-6!49|I CI 4-5-6!50
profesor antrenor studii superioare de lunga durata grad didactic i,"profesor-antrenor, studii superioare de lungă durată grad didactic I",I,,11.00501001.01.1|11.00501001.01.2|11.00501001.01.3|11.00501001.01.4|11.00501001.01.5|11.00501001.01.6,6,I CI 4-5-6!33|I CI 4-5-6!34|I CI 4-5-6!35|I CI 4-5-6!36|I CI 4-5-6!37|I CI 4-5-6!38
profesor antrenor studii superioare de lunga durata grad didactic ii,"profesor-antrenor, studii superioare de lungă durată grad didactic II",I,,11.00501002.01.1|11.00501002.01.2|11.00501002.01.3|11.00501002.01.4|11.00501002.01.5|11.00501002.01.6,6,I CI 4-5-6!39|I CI 4-5-6!40|I CI 4-5-6!41|I CI 4-5-6!42|I CI 4-5-6!43|I CI 4-5-6!44
profesor antrenor studii superioare de scurta durata debutant,"profesor-antrenor, studii superioare de scurtă durată debutant",I,,11.00501008.01.1,1,I CI 4-5-6!69
profesor antrenor studii superioare de scurta durata grad didactic definitiv,"profesor-antrenor, studii superioare de scurtă durată grad didactic definitiv",I,,11.00501007.01.1|11.00501007.01.2|11.00501007.01.3|11.00501007.01.4|11.00501007.01.5|11.00501007.01.6,6,I CI 4-5-6!63|I CI 4-5-6!64|I CI 4-5-6!65|I CI 4-5-6!66|I CI 4-5-6!67|I CI 4-5-6!68
profesor antrenor studii superioare de scurta durata grad didactic i,"profesor-antrenor, studii superioare de scurtă durată grad didactic I",I,,11.00501005.01.1|11.00501005.01.2|11.00501005.01.3|11.00501005.01.4|11.00501005.01.5,5,I CI 4-5-6!52|I CI 4-5-6!53|I CI 4-5-6!54|I CI 4-5-6!55|I CI 4-5-6!56
profesor antrenor studii superioare de scurta durata grad didactic ii,"profesor-antrenor, studii superioare de scurtă durată grad didactic II",I,,11.00501006.01.1|11.00501006.01.2|11.00501006.01.3|11.00501006.01.4|11.00501006.01.5|11.00501006.01.6,6,I CI 4-5-6!57|I CI 4-5-6!58|I CI 4-5-6!59|I CI 4-5-6!60|I CI 4-5-6!61|I CI 4-5-6!62
profesor cfm,Profesor CFM,II,,21.00205008.04.1|21.00205009.04.1|21.00205010.04.1,3,II CI 2!64|II CI 2!65|II CI 2!66
profesor cfm interpret in limbaj mimico gestual si al limbajului specific persoanelor cu surdocecitate,"Profesor CFM, interpret în limbaj mimico gestual și al limbajului specific persoanelor cu surdocecitate",II,,21.00303031.02.1,1,II CI 3!45
profesor gradul i,Profesor gradul I,V,,54.00101001.01.1|54.00101001.01.2|54.00101001.01.3|54.00101001.01.4|54.00101001.01.5,5,V CIV!9|V CIV!10|V CIV!11|V CIV!12|V CIV!13
profesor gradul ii,Profesor gradul II,V,,54.00101002.01.1|54.00101002.01.2|54.00101002.01.3|54.00101002.01.4|54.00101002.01.5,5,V CIV!14|V CIV!15|V CIV!16|V CIV!17|V CIV!18
profesor universitar,Profesor universitar,I,,11.00401001.01.1|11.00401001.01.2|11.00401001.01.3|11.00401001.01.4|11.00401001.01.5,5,I CI 4-5-6!8|I CI 4-5-6!9|I CI 4-5-6!10|I CI 4-5-6!11|I CI 4-5-6!12
programator,programator,VIII,personal contractual,82.40208001.03.1|82.40208001.03.2|82.40208001.03.3|82.40208001.03.4,4,VIII CII B!66|VIII CII B!67|VIII CII B!68|VIII CII B!69
proiectant,Proiectant,VIII,personal contractual,82.40206001.01.1|82.40206001.01.2|82.40206001.01.3|82.40206001.01.4,4,VIII CII B!53|VIII CII B!54|VIII CII B!55|VIII CII B!56
prorector,Prorector,I,,11.00101002.01.2,1,I CI 1-3!8
psiholog practicant,Psiholog practicant,II,,21.00205013.01.1|21.00303007.01.1,2,II CI 2!69|II CI 3!21
psiholog principal,Psiholog principal,II,,21.00205011.01.1|21.00303005.01.1,2,II CI 2!67|II CI 3!19
psiholog specialist,Psiholog specialist,II,,21.00205012.01.1|21.00303006.01.1,2,II CI 2!68|II CI 3!20
psiholog stagiar,Psiholog stagiar,II,,21.00205014.01.1|21.00303008.01.1,2,II CI 2!70|II CI 3!22
