version_id,anexa,sheet,source_row,cod,coduri,functie,sinonime,regim,tip_post,nivel_administrativ,banda_populatie,grad_treapta,vechime,studii,sectiune,coef_min,coef_max,coeficienti,coef_labels,needs_review
2026-07-17,I,I CI 4-5-6,18,11.00401002.01.6,11.00401002.01.6,Conferenţiar universitar,Conferenţiar universitar,,,,,,3-5 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.11,2.11,2.11,Gradația 0,0
2026-07-17,I,I CI 4-5-6,19,11.00401003.01.1,11.00401003.01.1,Şef lucrări (lector universitar),Şef lucrări,,,,,,peste 25 de ani,S,4. Coeficienți de salarizare învăţământ universitar,2.38,2.38,2.38,Gradația 0,0
2026-07-17,I,I CI 4-5-6,20,11.00401003.01.2,11.00401003.01.2,Şef lucrări (lector universitar),Şef lucrări,,,,,,20-25 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.2371999999999996,2.2371999999999996,2.2372,Gradația 0,0
2026-07-17,I,I CI 4-5-6,21,11.00401003.01.3,11.00401003.01.3,Şef lucrări (lector universitar),Şef lucrări,,,,,,15-20 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.1029679999999997,2.1029679999999997,2.102968,Gradația 0,0
2026-07-17,I,I CI 4-5-6,22,11.00401003.01.4,11.00401003.01.4,Şef lucrări (lector universitar),Şef lucrări,,,,,,10-15 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.04,2.04,2.04,Gradația 0,0
2026-07-17,I,I CI 4-5-6,23,11.00401003.01.5,11.00401003.01.5,Şef lucrări (lector universitar),Şef lucrări,,,,,,5-10 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.0094,2.0094,2.0094,Gradația 0,0
2026-07-17,I,I CI 4-5-6,24,11.00401003.01.6,11.00401003.01.6,Şef lucrări (lector universitar),Şef lucrări,,,,,,3-5 ani,S,4. Coeficienți de salarizare învăţământ universitar,1.98,1.98,1.98,Gradația 0,0
2026-07-17,I,I CI 4-5-6,25,11.00401004.01.1,11.00401004.01.1,Asistent universitar,Asistent universitar,,,,,,peste 25 de ani,S,4. Coeficienți de salarizare învăţământ universitar,2.142,2.142,2.142,Gradația 0,0
2026-07-17,I,I CI 4-5-6,26,11.00401004.01.2,11.00401004.01.2,Asistent universitar,Asistent universitar,,,,,,20-25 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.118333333333333,2.118333333333333,2.118333333,Gradația 0,0
2026-07-17,I,I CI 4-5-6,27,11.00401004.01.3,11.00401004.01.3,Asistent universitar,Asistent universitar,,,,,,15-20 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.0946666666666665,2.0946666666666665,2.094666667,Gradația 0,0
2026-07-17,I,I CI 4-5-6,28,11.00401004.01.4,11.00401004.01.4,Asistent universitar,Asistent universitar,,,,,,10-15 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.0709999999999997,2.0709999999999997,2.071,Gradația 0,0
2026-07-17,I,I CI 4-5-6,29,11.00401004.01.5,11.00401004.01.5,Asistent universitar,Asistent universitar,,,,,,5-10 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.047333333333333,2.047333333333333,2.047333333,Gradația 0,0
2026-07-17,I,I CI 4-5-6,30,11.00401004.01.6,11.00401004.01.6,Asistent universitar,Asistent universitar,,,,,,3-5 ani,S,4. Coeficienți de salarizare învăţământ universitar,2.0236666666666663,2.0236666666666663,2.023666667,Gradația 0,0
2026-07-17,I,I CI 4-5-6,31,11.00401004.01.7,11.00401004.01.7,Asistent universitar,Asistent universitar,,,,,,până la 3 ani,S,4. Coeficienți de salarizare învăţământ universitar,2,2,2,Gradația 0,0
2026-07-17,I,I CI 4-5-6,33,11.00501001.01.1,11.00501001.01.1,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,peste 25 de ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.38,2.38,2.38,Gradația 0,0
2026-07-17,I,I CI 4-5-6,34,11.00501001.01.2,11.00501001.01.2,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,20-25 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.27,2.27,2.27,Gradația 0,0
2026-07-17,I,I CI 4-5-6,35,11.00501001.01.3,11.00501001.01.3,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,15-20 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.18,2.18,2.18,Gradația 0,0
2026-07-17,I,I CI 4-5-6,36,11.00501001.01.4,11.00501001.01.4,"Profesor; educator-puericultor; profesor-antrenor, studii superioare de lungă durată grad didactic I","Profesor|educator-puericultor|profesor-antrenor, studii superioare de lungă durată grad didactic I",,,,,,10-15 ani,S,5. Coeficienți de salarizare învăţământ preuniversitar,2.1042105263157898,2.1042105263157898,2.104210526,Gradația 0,0
