cod_cor,denumire,denumire_normalizata,grupa_majora,subgrupa_majora,grupa_minora,isco_grupa_de_baza
132230,șef/ șef adjunct centru exploatare rețele electrice,sef sef adjunct centru exploatare retele electrice,1,13,132,1322
132231,șef dispecer energetic central (DEC),sef dispecer energetic central dec,1,13,132,1322
132232,șef dispecer energetic teritorial (DET),sef dispecer energetic teritorial det,1,13,132,1322
132233,șef formație la fabricarea armamentului și muniției,sef formatie la fabricarea armamentului si munitiei,1,13,132,1322
132234,șef schimb,sef schimb,1,13,132,1322
132235,șef formație,sef formatie,1,13,132,1322
132301,ajutor șef brigadă în construcții,ajutor sef brigada in constructii,1,13,132,1323
132302,inginer- șef în construcții,inginer sef in constructii,1,13,132,1323
132303,conducător antrepriză construcții-montaj,conducator antrepriza constructii montaj,1,13,132,1323
132304,șef atelier în construcții,sef atelier in constructii,1,13,132,1323
132305,șef brigadă complexă sau specializată,sef brigada complexa sau specializata,1,13,132,1323
132306,șef laborator în construcții,sef laborator in constructii,1,13,132,1323
132307,șef lot,sef lot,1,13,132,1323
132308,șef șantier,sef santier,1,13,132,1323
132309,șef sector (secție) drumuri-poduri,sef sector sectie drumuri poduri,1,13,132,1323
132310,"șef secție producție, exploatare, întreținere, reparații în construcții și lucrări publice",sef sectie productie exploatare intretinere reparatii in constructii si lucrari publice,1,13,132,1323
132311,șef serviciu în construcții,sef serviciu in constructii,1,13,132,1323
132312,șef birou în construcții,sef birou in constructii,1,13,132,1323
132313,șef sector exploatare îmbunătățiri funciare,sef sector exploatare imbunatatiri funciare,1,13,132,1323
132314,șef sistem exploatare îmbunătățiri funciare,sef sistem exploatare imbunatatiri funciare,1,13,132,1323
132315,conducător întreprindere mică - patron (girant) în construcții,conducator intreprindere mica patron girant in constructii,1,13,132,1323
132401,căpitan- șef port,capitan sef port,1,13,132,1324
132402,comandant nave maritime,comandant nave maritime,1,13,132,1324
132403,comandant coordonator grup mare pescuit oceanic,comandant coordonator grup mare pescuit oceanic,1,13,132,1324
132404,conducător (director și director adjunct) Administrația Filială Dunărea de Jos (AFDJ),conducator director si director adjunct administratia filiala dunarea de jos afdj,1,13,132,1324
132405,director zbor,director zbor,1,13,132,1324
132406,inginer- șef transporturi,inginer sef transporturi,1,13,132,1324
132407,picher șef district,picher sef district,1,13,132,1324
132408,revizor general siguranța circulației,revizor general siguranta circulatiei,1,13,132,1324
132409,șef agenție navală,sef agentie navala,1,13,132,1324
132410,șef atelier aeroport,sef atelier aeroport,1,13,132,1324
132411,șef atelier transporturi,sef atelier transporturi,1,13,132,1324
132412,șef autobază,sef autobaza,1,13,132,1324
132413,șef birou aeroport,sef birou aeroport,1,13,132,1324
